room,time,title,type,description,presenters,fields
SET 106,11:00 AM,B3.2 Future Proof Your Dreams: Medical school alternatives,Lecture,"Behind every first choice future is a solid backup plan. Explore best practices in creating strategic backup plans that can support your main goal of medical school, but also provide you with a plan B in case medical school acceptance doesn't pan out.","Presenters: Jennifer Meyer, Heidi Heiner, Tracy Heatherington","[""All Majors""]"
SET 201,11:00 AM,B3.3 Mastering Graduate School: Essential Skills for Non-Medical Grad Programs,Panel,"An overview of the steps involved in preparing to apply to non-medical based graduate programs. Topics will include identifying potential programs, selecting faculty advisors, crafting a strong application package, and understanding the admissions process.","Moderator: Dani Gutierrez
Panelists: Greg Melton, Jay Sneddon, Haylee Ream","[""All Majors""]"
SET 301,11:00 AM,B3.4 Why Do I Need GE: An exploration of the value add of professional skills and some of the best places to pick them up on the way to your degree,Lecture,"An exploration of the value add of General Education courses in the development of professional skills valued by employers. Use GE requirements to your advantage and shift your focus from ""why do I have to do this"" to ""here's how I'm going to benefit from this"".",Presenters: Sarah Black,"[""All Majors""]"
SET 418,11:00 AM,B3.5 Building Your Portfolio,Lecture,"This lecture will focus on introducing undergraduate students to building effective portfolios to showcase their skills and work. Presenters will discuss strategies students can use from their first class to select and organize projects, present them appropriately for the intended audience, and tailor the portfolio to specific career goals.","Presenters: Jeremey Forsberg, Christina Pondell, DJ Holt","[""All Majors""]"
SET 420,11:00 AM,"B3.6 Unlock Your Potential with ""Your Career Plan""",Lecture,"Join your College of Science, Engineering, and Technology Career Coach to get an overview of self-exploration, career exploration, and career readiness. Learn how this process will help you discover your unique strengths, explore diverse industries, and gain practical skills. Explore Career Services resources, including coaching, career fairs, and networking opportunities, to help you confidently shape a successful future.",Presenter: Leann Weibert,"[""All Majors""]"
SET 524,11:00 AM,B3.7 Inspiring the Next Generation of STEM,Lecture,Explore innovative ways Utah Tech and you can inspire and engage the next generation of STEM students. Learn how you can become a mentor to encourage diverse perspectives and skillsets in STEM fields for kids K-12.,Presenters: Jessica Davis,"[""All Majors""]"
SET 105,11:30 AM,B4.1 Career Exploration: Computer Engineering/Electrical Engineering/Mechanical Engineering/Mechatronics/APE,Lecture,"Learn about careers within Computer Engineering, Electrical Engineering, Mechanical Engineering, and Mechatronics including job requirements, necessary education, and available opportunities. Gain insight into the pathways associated with your desired field and learn how to tailor your education and experience to best prepare you for your desired career.","Presenters: Sam Tobler, Scott Skeen","[""Engineering""]"
SET 106,11:30 AM,B4.2 Career Exploration: Pre-Health/Health Chem/BioTech,Lecture,"Learn about careers within Pre-Health majors, Health Chemistry, and BioTech including job requirements, necessary education, and available opportunities. Gain insight into the pathways associated with your desired field and learn how to tailor your education and experience to best prepare you for your desired career.","Presenters: Doug Sainsbury, Jennifer Meyer, Aaron Davis","[""Biology"", ""Bioinformatics"", ""Biotechnology"", ""Chem/Biochem""]"
SET 201,11:30 AM,B4.3 Career Exploration: CS/Data Science/IT/Software Engineering,Lecture,"Learn about careers within Computer Science, Data Science, Information Technology, Cybersecurity, and Software Engineering including job requirements, necessary education, and available opportunities. Gain insight into the pathways associated with your desired field and learn how to tailor your education and experience to best prepare you for your desired career.","Presenters: Ren Quinn, Jay Sneddon, Curtis Larsen","[""Computer Science"", ""Cybersecurity"", ""Information Technology"", ""Software Engineering""]"
SET 301,11:30 AM,B4.4 Career Exploration: Digital Design/Graphic Design/ Interaction Design,Lecture,"Learn about careers within Digital Design, Graphic Design, and Interaction Design including job requirements, necessary education, and available opportunities. Gain insight into the pathways associated with your desired field and learn how to tailor your education and experience to best prepare you for your desired career.","Presenters: Jeremey Forsberg, Haylee Ream, Rachel Ramsay, Andrew Wilson, Rian Kasner","[""Design""]"
SET 418,11:30 AM,B4.5 Career Exploration: NatSci/EES/Geo,Lecture,"Learn about careers within Natural Science, Earth & Environmental Science, and Geosciences including job requirements, necessary education, and available opportunities. Gain insight into the pathways associated with your desired field and learn how to tailor your education and experience to best prepare you for your desired career.",Presenters: Greg Melton,"[""EES"", ""Geoscience"", ""Biology""]"
SET 420,11:30 AM,B4.6 Career Exploration: Chemistry & Biochemistry,Lecture,"Learn about careers within Chemistry and Biochemistry areas including the breadth of opportunities, typical job requirements, necessary education, graduate programs, and available opportunities. Career opportunities in these areas include industry, government, policy and law, materials, energy, environment, and pharma and biotech.  Gain insight into the pathways associated with your desired field and learn how to tailor your education and experience to best prepare you for your desired career.",Presenters: Rico Del Sesto,"[""Chem/Biochem""]"
SET 501,11:30 AM,B4.7 Career Exploration: STEM Education,Lecture,"Learn about careers within STEM Education including job requirements, necessary education, and available opportunities. Gain insight into the pathways associated with your desired field and learn how to tailor your education and experience to best prepare you for your desired career.",Presenters: Leann Weibert,"[""STEM Education""]"
SET 524,11:30 AM,B4.8 Career Exploration: Mathematics/ACM,Lecture,"Learn about careers within Mathematics and Applied & Computational Mathematics including job requirements, necessary education, and available opportunities. Gain insight into the pathways associated with your desired field and learn how to tailor your education and experience to best prepare you for your desired career.",Presenters: Vinodh Chellamuthu,"[""Applied & Computational Mathematics"", ""Mathematics""]"
